vous	v u
tendresses	t ɑ̃ d ʁ ɛ s
tendu	t ɑ̃ d y
tendue	t ɑ̃ d y
tenezvous	t ə n e v u
tenons	t ə n ɔ̃
tentait	t ɑ̃ t ɛ
tentation	t ɑ̃ t a s j ɔ̃
tentative	t ɑ̃ t a t i v
tentures	t ɑ̃ t y ʁ
tentés	t ɑ̃ t e
tenue	t ə n y
terme	t ɛ ʁ m
termes	t ɛ ʁ m
termina	t ɛ ʁ m i n a
terminer	t ɛ ʁ m i n e
terminera	t ɛ ʁ m i n ʁ a
terminé	t ɛ ʁ m i n e
terminée	t ɛ ʁ m i n e
ternes	t ɛ ʁ n
terrain	t ɛ ʁ ɛ̃
terrasse	t e ʁ a s
terrassier	t e ʁ a s j e
terrassier	t ɛ ʁ a s j e
terre	t ɛ ʁ
terrestre	t ɛ ʁ ɛ s t ʁ
terrible	t ɛ ʁ i b l
terribles	t ɛ ʁ i b l
terrifiant	t ɛ ʁ i f j ɑ̃
tes	t
tesvous	t e v u
tessons	t e s ɔ̃
teucer	t œ s e
texte	t ɛ k s t
thermidor	t ɛ ʁ m i d ɔ ʁ
thermopyles	t ɛ ʁ m ɔ p i l
thym	t i m
thym	t ɛ̃
supplié	s y p ʎ i j e
thèbes	t ɛ b
thé	t e
thénard	t e n a ʁ
théodule	t e ɔ d y l
suppléer	s y p l e e
théâtre	t e a t ʁ
théâtre	t e ɑ t ʁ
théâtres	t e a t ʁ
tiendra	t j ɛ̃ d ʁ a
tienne	t j ɛ n
tiennent	t j ɛ n
tient	t j ɛ̃
tiers	t j e
tiers	t j ɛ ʁ
tigre	t i ɡ ʁ
timbre	t ɛ̃ b ʁ
timide	t i m i d
timon	t i m ɔ̃
tinrent	t ɛ̃ ʁ
tir	t i ʁ
tira	t i ʁ a
tiraient	t i ʁ ɛ
tiraillements	t i ʁ ɑ j m ɑ̃
tire	t i ʁ
tirent	t i ʁ
tirer	t i ʁ e
tirez	t i ʁ e
tiroir	t i ʁ w a ʁ
tiroirs	t i ʁ w a ʁ
tirée	t i ʁ e
tisane	t i z a n
titanique	t i t a ɲ i k
titre	t i t ʁ
titres	t i t ʁ
toasts	t o s t
tohubohu	t o y b ɔ y
supportable	s y p ɔ ʁ t a b l
supporter	s y p ɔ ʁ t e
toimême	t w a m ɛ m
toile	t w a l
supposent	s y p o z
toilette	t w a l ɛ t
toises	t w a z
supposé	s y p o z e
suppression	s y p ʁ ɛ s j ɔ̃
toit	t w a
toits	t w a
tomba	t ɔ̃ b a
tombaient	t ɔ̃ b ɛ
tombait	t ɔ̃ b ɛ
tombante	t ɔ̃ b ɑ̃ t
tombeau	t ɔ̃ b o
tombent	t ɔ̃ b
tomber	t ɔ̃ b e
tombera	t ɔ̃ b ʁ a
tombèrent	t ɔ̃ b ɛ ʁ
tombées	t ɔ̃ b e
tomes	t ɔ m
tonne	t ɔ n
tonneaux	t ɔ n o
tonnerre	t ɔ n ɛ ʁ
tonnerres	t ɔ n ɛ ʁ
toque	t ɔ k
torche	t ɔ ʁ ʃ
tordait	t ɔ ʁ d ɛ
tordre	t ɔ ʁ d ʁ
tordus	t ɔ ʁ d y
torrentielles	t ɔ ʁ ɑ̃ s j ɛ l
total	t ɔ t a l
supprimée	s y p ʁ i m e
toucha	t u ʃ a
touchaient	t u ʃ ɛ
touchait	t u ʃ ɛ
touche	t u ʃ
supérieurs	s y p e ʁ j œ ʁ
sur	s œ ʁ
toucher	t u ʃ e
surenchère	s y ʁ ɑ̃ ʃ ɛ ʁ
touchez	t u ʃ e
touché	t u ʃ e
touchée	t u ʃ e
tourbillon	t u ʁ b i j ɔ̃
tourbillons	t u ʁ b i j ɔ̃
sortirez	s ɔ ʁ t i ʁ e
tourment	t u ʁ m
tourment	t u ʁ m ɑ̃
surgies	s y ʁ ʒ i
tourna	t u ʁ n a
surgissant	s y ʁ ʒ i s ɑ̃
sotte	s ɔ t
surmontait	s y ʁ m ɔ̃ t ɛ
tournant	t u ʁ n ɑ̃
surmonté	s y ʁ m ɔ̃ t e
sottises	s ɔ t i z
souciant	s u s j ɑ̃
surplus	s y ʁ p l y
surprenant	s y ʁ p ʁ ə n ɑ̃
surprendre	s y ʁ p ʁ ɑ̃ d ʁ
sursauta	s y ʁ s o t a
tournants	t u ʁ n ɑ̃
surveillants	s y ʁ v ɛ j ɑ̃
surveillée	s y ʁ v ɛ j e
survenue	s y ʁ v ə n y
survint	s y ʁ v ɛ̃
tournerait	t u ʁ n ə ʁ e
tournerait	t u ʁ n ə ʁ ɛ
tournure	t u ʁ n y ʁ
tourné	t u ʁ n e
tournés	t u ʁ n e
toussaint	t u s ɛ̃
toussait	t u s ɛ
toutparis	t u p a ʁ i
toutparis	t u t p a ʁ i
toutepuissance	t u t ə p ɥ i s ɑ̃ s
toutes	t u t
trace	t ʁ a s
traces	t ʁ a s
traduisait	t ʁ a d ɥ i z ɛ
traduits	t ʁ a d ɥ i
tragique	t ʁ a ʒ i k
tragiques	t ʁ a ʒ i k
trahi	t ʁ a i
trahie	t ʁ a i
trahir	t ʁ a i ʁ
trahison	t ʁ a i z ɔ̃
trahit	t ʁ a i
trahit	t ʁ a i t
susceptible	s y s ɛ p t i b l
soucoupe	s u k u p
train	t ʁ ɛ̃
trait	t ʁ ɛ
soudoyé	s u d w a j e
soudée	s u d e
soudées	s u d e
traitez	t ʁ ɛ t e
suspecter	s y s p ɛ k t e
traités	t ʁ ɛ t e
trajet	t ʁ a ʒ ɛ
tramaient	t ʁ a m ɛ
tranchelevent	t ʁ ɑ̃ ʃ l v ɑ̃
tranchée	t ʁ ɑ̃ ʃ e
tranges	t ʁ ɑ̃ ʒ
tranquille	t ʁ ɑ̃ c i j
tranquille	t ʁ ɑ̃ c i l
tranquillement	t ʁ ɑ̃ c i l m ɑ̃
tranquilles	t ʁ ɑ̃ c i l
transaction	t ʁ ɑ̃ z a k s j ɔ̃
transfigurant	t ʁ ɑ̃ s f i ɡ y ʁ ɑ̃
transfiguré	t ʁ ɑ̃ s f i ɡ y ʁ e
transformation	t ʁ ɑ̃ s f ɔ ʁ m a s j ɔ̃
suspendus	s y s p ɑ̃ d y
sut	s y
sycomores	s i k ɔ m ɔ ʁ
sylphes	s i l f
transformé	t ʁ ɑ̃ s f ɔ ʁ m e
transition	t ʁ ɑ̃ z i s j ɔ̃
sympathie	s ɛ̃ p a t i
transmis	t ʁ ɑ̃ s m i
transparaître	t ʁ ɑ̃ s p a ʁ ɛ t ʁ
transporter	t ʁ ɑ̃ s p ɔ ʁ t e
transporté	t ʁ ɑ̃ s p ɔ ʁ t e
transvaal	t ʁ ɑ̃ z v a l
transvaal	t ʁ ɑ̃ z v ɛ a l
transversaux	t ʁ ɑ̃ z v ɛ ʁ o
trappes	t ʁ a p
traque	t ʁ a k
traqué	t ʁ a c e
travail	t ʁ a v a j
travaille	t ʁ a v a j
travailleur	t ʁ a v a j œ ʁ
travaillons	t ʁ a v a j ɔ̃
travaux	t ʁ a v o
travers	t ʁ a v ɛ ʁ
symétrique	s i m e t ʁ i k
traversait	t ʁ a v ɛ ʁ s ɛ
traverser	t ʁ a v ɛ ʁ s e
système	s i s t ɛ m
traversièresaintantoine	t ʁ a v ɛ ʁ s j ɛ ʁ ə z ɛ̃ t ɑ̃ t w a n
traversièresaintantoine	t ʁ a v ɛ ʁ s j ɛ ʁ ɛ s ɛ̃ t ɑ̃ t w a n
traversièresaintantoine	t ʁ a v ɛ ʁ s j ɛ ʁ ɛ z ɛ̃ t ɑ̃ t w a n
tremblaient	t ʁ ɑ̃ b l ɛ
tremblait	t ʁ ɑ̃ b l ɛ
sèpe	s ɛ p
tremblantes	t ʁ ɑ̃ b l ɑ̃ t
séances	s e ɑ̃ s
sécher	s e ʃ e
tremblement	t ʁ ɑ̃ b l ə m ɑ̃
trembler	t ʁ ɑ̃ b l e
trempée	t ʁ ɑ̃ p e
trentecinq	t ʁ ɑ̃ t s ɛ̃
trentecinq	t ʁ ɑ̃ t ɛ̃
soufflait	s u f l ɛ
trente	t ʁ ɑ̃ t
tressaillant	t ʁ a j ɑ̃
tressaillit	t ʁ a j i
tressaillit	t ʁ s a j i
tringles	t ʁ ɛ̃ ɡ l
triomphant	t ʁ i j ɔ̃ f ɑ̃
triomphe	t ʁ i j ɔ̃ f
triste	t ʁ i s t
tristesses	t ʁ i s t ɛ s
troisièmement	t ʁ w a z j ɛ m ɑ̃
sénateurs	s e n a t œ ʁ
trompé	t ʁ ɔ̃ p e
souffleté	s u f l t e
tronçonnée	t ʁ ɔ̃ s ɔ n e
sépare	s e p a ʁ
trou	t ʁ u
trouble	t ʁ u b l
troublé	t ʁ u b l e
troupe	t ʁ u p
trousse	t ʁ u s
trouva	t ʁ u v a
trouvailles	t ʁ u v a j
trouverait	t ʁ u v ʁ ɛ
souhaiter	s w e t e
souhaiter	s w ɛ t e
souille	s u j
soulageait	s u l a ʒ ɛ
soulevant	s u l v ɑ̃
soulevant	s u l ə v ɑ̃
souligna	s u ʎ i ɲ a
soult	s u l
soulèvement	s u l ɛ v m ɑ̃
soumis	s u m i
soumis	s u m i s
soumission	s u m i s j ɔ̃
soupira	s u p i ʁ a
souples	s u p l
soupçonnait	s u p s ɔ n ɛ
soupçonnée	s u p s ɔ n e
soupçonnée	s u p ɔ n e
sourcils	s u ʁ s i
sourds	s u ʁ
souriants	s u ʁ j ɑ̃
sourires	s u ʁ i ʁ
séparonsnous	s e p a ʁ ɔ̃ n u
trouvions	t ʁ u v j ɔ̃
sournois	s u ʁ n w a
séparés	s e p a ʁ e
truanderie	t ʁ y ɑ̃ d ʁ i
trépignait	t ʁ e p i ɲ ɛ
tudesque	t y d ɛ s k
séraphins	s e ʁ a f i n
séraphins	s e ʁ a f ɛ̃
tuezmoi	t ɥ e m w a
tuiles	t ɥ i l
tumulte	t y m y l t
tumultueusement	t y m y l t ɥ ø z m ɑ̃
tyrans	t i ʁ ɑ̃
tâchant	t ɑ ʃ ɑ̃
sérieusement	s e ʁ j ø z m ɑ̃
tâtait	t a a t ɛ
tâtait	t a t ɛ
tâtonnements	t ɑ t ɔ n m ɑ̃
sérénité	s e ʁ e ɲ i t e
télégraphique	t e l e ɡ ʁ a f i k
sévéritélà	s e v e ʁ i t e l a
témoignages	t e m w a ɲ a ʒ
ténèbres	t e n ɛ b ʁ
ténébreusement	t e n e b ʁ ø z m ɑ̃
ulysse	y ʎ i s
unie	y ɲ i
uniformes	y ɲ i f ɔ ʁ m
unissait	y ɲ i s ɛ
universelle	y ɲ i v ɛ ʁ s ɛ l
uns	ɛ̃
urbi	y ʁ b i
sousjacents	s u s a dʒ a s ɑ̃
sousjacents	s u s e a dʒ a s ɑ̃
sousjacents	s u s e dʒ a s ɑ̃
urgent	y ʁ ʒ ɑ̃
sût	s y
usée	y z e
utilement	y t i l m ɑ̃
vatelle	v a t ɛ l
vacilla	v a s i j a
vacillèrent	v a s i j ɛ ʁ
vaillant	v a j ɑ̃
vaincu	v ɛ̃ k y
vaincus	v ɛ̃ k y s
vainqueur	v ɛ̃ k œ ʁ
valets	v a l ɛ
valises	v a ʎ i z
valurent	v a l y ʁ
varie	v a ʁ i
vas	v a
vas	v a s
vas	v ɑ
vase	v a z
vase	v ɑ z
vaste	v a s t
vatinel	v a t i n ɛ l
vauriens	v o ʁ j ɛ̃
vautour	v o t u ʁ
vautre	v o t ʁ
veillaient	v ɛ j ɛ
veillant	v ɛ j ɑ̃
veille	v ɛ j
veilleuse	v ɛ j ø z
veines	v ɛ n
velléités	v ɛ l e i t e
venaient	v n ɛ
venaient	v ə n ɛ
soustrait	s u s t ʁ ɛ
venaitil	v ə n e t i
venaitil	v ə n ɛ t i
sabaissant	s a b e e s ɑ̃
sabaissant	s a b e s ɑ̃
sabaissant	s a b e ɛ s ɑ̃
sabaissant	s a b ɛ s ɑ̃
soutenaient	s u t n ɛ
venait	v ə n ɛ
venants	v ə n ɑ̃
vendre	v ɑ̃ d ʁ
saccentua	s a k s ɑ̃ t ɥ a
saccrocher	s a k ʁ ɔ ʃ e
sacharna	s a ʃ a ʁ n a
soutenu	s u t n y
soutenus	s u t n y s
vendredi	v ɑ̃ d ʁ ə d i
soutien	s u t j ɛ̃
soutiens	s u t j ɛ̃
soutènement	s u t ɛ n m ɑ̃
souvenezvous	s u v n e z v u
sadapte	s a d a p t
venez	v e n e
venez	v ə n e
vengeance	v ɑ̃ ʒ ɑ̃ s
souverainement	s u v ə ʁ ɛ n m ɑ̃
souverainement	s u v ʁ ɛ n m ɑ̃
souverainetés	s u v ʁ ɛ n t e
souviens	s u v j ɛ̃
venger	v ɑ̃ ʒ e
veniez	v ə ɲ e
venir	v ə ɲ i ʁ
venise	v ə ɲ i z
vent	v
vent	v ɑ̃
sadressèrent	s a d ʁ e s ɛ ʁ
sadressèrent	s a d ʁ ɛ s ɛ ʁ
ventre	v ɑ̃ t ʁ
souvint	s u v ɛ̃
soyezvous	s w a j e v u
sparte	s p a ʁ t
spartiates	s p a ʁ s j a t
spectateur	s p ɛ k t a t œ ʁ
sagissait	s a ʒ i s ɛ
ventresaintgris	v ɑ̃ t ʁ s ɛ̃ z a ʁ i
ventresaintgris	v ɑ̃ t ʁ s ɛ̃ ɡ ʁ i
ventresaintgris	v ɑ̃ t ʁ ɛ s ɛ̃ ɡ ʁ i
venus	v ə n y s
verbalement	v ɛ ʁ b a l m ɑ̃
vermeil	v ɛ ʁ m ɛ j
sagitaient	s a ʒ i a t ɛ
sagitaient	s a ʒ i t ɛ
sagitaient	s a ʒ i ɛ
samusait	s a m y s ɛ
samusait	s a m y z ɛ
samusait	s a m y ɛ
vermeilles	v ɛ ʁ m ɛ j
vermeilles	v ɛ ʁ m ɛ ɛ j
vernis	v ɛ ʁ ɲ i
vernit	v ɛ ʁ ɲ i
vernon	v ɛ ʁ n ɔ̃
verrais	v ɛ ʁ ɛ
verre	v ɛ ʁ
verres	v ɛ ʁ
sannonce	a n ɔ̃ s
sannonce	s a n ɔ̃ s
sannonce	s a n ɔ̃ s ɑ̃ s
sappliquetelle	s a p ʎ i c ɛ t ɛ l
sappliquetelle	s a p ʎ i k t ɛ l
verrez	v ɛ ʁ e
verrons	v ɛ ʁ ɔ̃
verroterie	v ɛ ʁ ɔ t ʁ i
verrou	v ɛ ʁ u
verrouilla	v ɛ ʁ u j a
verrous	v ɛ ʁ u
vers	v ɛ ʁ
sapproche	s a a p ʁ ɔ ʃ
sapproche	s a p ʁ ɔ ʃ
sapproche	s a z a p ʁ ɔ ʃ
sapprêtent	s a p ʁ ɛ t
sarracha	s a ʁ a ʃ a
versaient	v ɛ ʁ s ɛ
versaient	v ɛ ʁ ɛ
versait	v ɛ ʁ s ɛ
versants	v ɛ ʁ s ɑ̃
versement	v ɛ ʁ s ə m ɑ̃
sarranger	s a ʁ ɑ̃ ʒ e
sarrêtait	s a ʁ ɛ t ɛ
vertdegrise	v ɛ ʁ d ə ɡ ʁ i z
vertdegrise	v ɛ ʁ t d ə ɡ ʁ i z
vertdegrise	v ɛ ʁ t e d e ɡ ʁ i z
vertdegrise	v ɛ ʁ t e d ə ɡ ʁ i z
vertdegrise	v ɛ ʁ t e d ɛ ɡ ʁ i z
vertdegrise	v ɛ ʁ t e d ɡ ʁ i z
vertdegrise	v ɛ ʁ t e e ɡ ʁ i z
vertdegrise	v ɛ ʁ t ɛ d e ɡ ʁ i z
vertdegrise	v ɛ ʁ t ɛ d ə ɡ ʁ i z
vertdegrise	v ɛ ʁ t ɛ e d ə ɡ ʁ i z
vertdegrise	v ɛ ʁ t ɛ e e ɡ ʁ i z
vertdegrise	v ɛ ʁ t ɛ e s e e ɡ ʁ i z
vertige	v ɛ ʁ t i ʒ
vertigineuse	v ɛ ʁ t i ʒ i n ø z
vertigineusement	v ɛ ʁ t i ʒ i n ø z m ɑ̃
vertus	v ɛ ʁ t y s
verve	v ɛ ʁ v
veste	v ɛ s t
vestibule	v ɛ s t i b y l
veston	v ɛ s t ɔ̃
veuille	v œ j
veulent	v ø l
veulent	v œ l
veut	v ø
veuves	v œ v
viager	v j a ʒ e
vibra	v i b ʁ a
vice	v i s
vicomte	v i k ɔ̃ t
victime	v i k t i m
victoires	v i k t w a ʁ
victorhugo	v i k t ɔ ʁ y ɡ o
vida	v i d a
vidait	v i d ɛ
videgousset	v i d ə ɡ u s ɛ
videgousset	v i d ɡ u s ɛ
videmment	v i d a m ɑ̃
vides	v i d
vidée	v i d e
vie	v i
vieillard	v j ɛ j a ʁ
vieillards	v j ɛ j a ʁ
vieillesse	v j ɛ j
vieillesse	v j ɛ j ɛ s
viendra	v j ɛ̃ d ʁ a
viendratil	v j ɛ̃ d ʁ a t i
viendratil	v j ɛ̃ d ʁ a t i l
viendraitil	v j ɛ̃ d ʁ e t i
spirituel	s p i ʁ i t ɥ ɛ l
vienne	v j ɛ n
viennent	v j ɛ n
viens	v j ɛ̃
vientelle	v j ɛ n t ɛ l
splendides	s p l ɑ̃ d i d
spontanément	s p ɔ̃ t a n e m ɑ̃
spécieux	s p e s j ø
stagnant	s t a ɡ n ɑ̃
stalactites	s t a l a k t i t
sassoit	s a s w a
vierge	v j ɛ ʁ ʒ
sassurer	s a s y ʁ e
sattarder	s a t a ʁ d e
sattroupait	s a t ʁ u p ɛ
statue	s t a t y
statue	s t a t ɥ
savançaient	s a v ɑ̃ s ɛ
vierges	v j ɛ ʁ ʒ
vieux	v j ø
vigoureuse	v i ɡ u ʁ ø z
vigueur	v i ɡ œ ʁ
vii	v i j i
vii	v i s e
vii	v i s ɛ j
vii	v i z e
sefforce	s e f ɔ ʁ s
vil	v i l
vilain	v i l ɛ̃
village	v i j a ʒ
village	v i l a ʒ
ville	v i j
ville	v i l
villedavray	v i j d a v ʁ ɛ
villedavray	v i j d a v ʁ ɛ j
villes	v i j
villes	v i l
villiers	v i j e
vin	v ɛ̃
vincennes	v ɛ̃ s ɛ n
vingt	v ɛ̃
vingt	v ɛ̃ t
vingtcinq	v ɛ̃ t s ɛ̃
vingtcinquième	v ɛ̃ t s s ɛ̃ c ɛ m
vingtcinquième	v ɛ̃ t s ɛ̃ c ɛ m
vingtetun	v ɛ̃ t ɛ̃
stercoraires	s t ɛ ʁ k ɔ ʁ ɛ ʁ
sefforçant	s e f ɔ ʁ s ɑ̃
vingtsept	v ɛ̃ p t
vingtsept	v ɛ̃ s ɛ
vingtsept	v ɛ̃ s ɛ p t
vingtsept	v ɛ̃ t p t
vingtsept	v ɛ̃ t s ɛ
vingtsept	v ɛ̃ t s ɛ p t
vingtsept	v ɛ̃ ɛ p t
stimulait	s t i m y l ɛ
vingtsix	v ɛ̃ i
vingtsix	v ɛ̃ t s i
vingtsix	v ɛ̃ ɛ s ɛ
vingttrois	v ɛ̃ t ʁ w a
vingtaine	v ɛ̃ t ɛ n
vinrent	v ɛ̃ ʁ
vint	v ɛ̃
vintvoilà	v ɛ̃ t e v w a l a
violemment	v j ɔ l a m ɑ̃
violence	v j ɔ l ɑ̃ s
violent	v j ɔ l
violent	v j ɔ l ɑ̃
violente	v j ɔ l ɑ̃ t
violentes	v j ɔ l ɑ̃ t
violer	v j ɔ l e
sempressa	s ɑ̃ p ʁ e s a
sempêcher	s ɑ̃ p e ʃ e
sempêcher	s ɑ̃ p ɛ ʃ e
violet	v j ɔ l ɛ
violets	v j ɔ l ɛ
violettes	v j ɔ l ɛ t
violons	v j ɔ l ɔ̃
virent	v i ʁ
virgile	v i ʁ ʒ i l
virgule	v i ʁ ɡ y l
viroflay	v i ʁ ɔ f l ɛ
vis	v i
vis	v i s
stoppa	s t ɔ p a
stoppa	s t ɔ p a a
sendormir	s ɑ̃ d ɔ ʁ m i ʁ
senfonçait	s ɑ̃ f ɔ̃ s ɛ
senfuyait	s ɑ̃ f ɥ i ɛ
visàvis	v i s a v i
visàvis	v i s s v i
visàvis	v i s s ɛ v i
visàvis	v i s v i
visàvis	v i s ɔ s ɛ v i
visàvis	v i z s v i
visàvis	v i z s ɛ v i
visàvis	v i z v i
visàvis	v s v i
visàvis	v s ɛ v i
visàvis	v v i
visa	v i z a
visage	v i z a ʒ
visages	v i z a ʒ
viser	v i z e
vises	v i z
visible	v i z i b l
vision	v i z j ɔ̃
visionnaire	v i z j ɔ n ɛ ʁ
visitandines	v i z i t ɑ̃ d i n
visite	v i z i t
visites	v i z i t
visiteur	v i z i t œ ʁ
visière	v i z j ɛ ʁ
sentrecroisaient	s ɑ̃ t ʁ ə k ʁ w
sentrecroisaient	s ɑ̃ t ʁ ə k ʁ w a s
sentrecroisaient	s ɑ̃ t ʁ ə k ʁ w a s ɛ
sentrecroisaient	s ɑ̃ t ʁ ə k ʁ w a z ɛ
sentrecroisaient	s ɑ̃ t ʁ ə k ʁ w i z ɛ
sentrecroisaient	s ɑ̃ t ʁ ə k ʁ w s ɛ
sentrecroisaient	s ɑ̃ t ʁ ə k ʁ w z ɛ
sentrecroisaient	s ɑ̃ t ʁ ə k ʁ w ɛ
stratagèmes	s t ʁ a t a ʒ ɛ m
strident	s t ʁ i d
strident	s t ʁ i d ɑ̃
striés	s t ʁ a j e
vissent	v i s
sest	s ɛ s t
vit	v i
sexaspéra	s ɛ ɡ z a s p e ʁ a
vitil	v i t i
sexclama	s ɛ k s k l a m a
sexpliquer	s ɛ k s p ʎ i c e
sexprimait	s ɛ k s p ʁ i m ɛ
sextasiait	s ɛ k s t a z j ɛ
sextasiait	s ɛ k s t j ɛ
simposait	s ɛ̃ p o z ɛ
vite	v i t
sinclina	s ɛ̃ k ʎ i n a
sinclinant	s ɛ̃ k ʎ i n ɑ̃
stupéfaits	s t y p e f
vitres	v i t ʁ
stupéfié	s t y p e f j e
vitrée	v i t ʁ e
vivait	v i v ɛ
vivant	v i v ɑ̃
style	s t i l
su	s y
vivante	v i v ɑ̃ t
sinsinua	s ɛ̃ s i n ɥ a
sinstaller	s ɛ̃ s t a l e
sinstaller	z ɛ̃ s t a l e
sinterrompit	s ɛ̃ t ɛ ʁ ɔ̃ p i
vivants	v i v ɑ̃
soffrait	s ɔ f ʁ ɛ
sopère	s ɔ p ɛ ʁ
sopérait	s ɔ p e ʁ ɛ
souvrait	s u v ʁ ɛ
souvrit	s u v ʁ i
sy	s i
sécarte	s e k a ʁ t
suant	s ɥ ɑ̃
vivement	v i v m ɑ̃
vivent	v i v
vivons	v i v ɔ̃
subi	s y b i
vivre	v i v ʁ
séchappaient	s e ʃ a p ɛ
vocalise	v ɔ k a ʎ i z
voie	v w a
voient	v w a
voies	v w a
voile	v w a l
voilette	v w a l ɛ t
voilé	v w a l e
voilée	v w a l e
voir	v w a ʁ
voirie	v w a ʁ i
séclaire	s e k l ɛ ʁ
séclaire	s e l ɛ ʁ
voisin	v w a z ɛ̃
voisinage	v w a z i n a ʒ
voisines	v w a z i n
voisins	v w a z ɛ̃
voiture	v w a t y ʁ
voitures	v w a t y ʁ
voiturespourquoi	v w a t y ʁ ɛ s p u ʁ k w a
voler	v ɔ l e
voletait	v ɔ l t ɛ
voleuse	v ɔ l ø z
volontiers	v ɔ l ɔ̃ t j e
volonté	v ɔ l ɔ̃ t e
volontés	v ɔ l ɔ̃ t e
voltairien	v ɔ l t ɛ ʁ j ɛ̃
voltigeurs	v ɔ l t i ʒ œ ʁ
volupté	v ɔ l y p t e
volé	v ɔ l e
volée	v ɔ l e
vomissait	v ɔ m i s ɛ
vont	v ɔ̃
vos	v o
vote	v ɔ t
votent	v ɔ t
voudra	v u d ʁ a
voudrait	v u d ʁ ɛ
voudrez	v u d ʁ e
voulais	v u l ɛ
voulait	v u l ɛ
voulant	v u l ɑ̃
voulez	v u l e
voulions	v u ʎ ɔ̃
voulu	v u l y
voulues	v u l y
voulût	v u l y
vousmême	v u m ɛ m
sécoulent	s e k u l
vousaille	v u z a j
voyage	v w a j a ʒ
sécria	s e k ʁ i j a
sécria	s e k ʁ j a
subits	s y b i
voyageurs	v w a j a ʒ œ ʁ
voyais	v w a j ɛ
voyait	v w a j ɛ
voyant	v w a j ɑ̃
voyons	v w a j ɔ̃
voûte	v u t
voûté	v u t e
vrai	v ʁ e
vrai	v ʁ ɛ
vrai	v ʁ ɛ s e
sublimé	s y b ʎ i m e
submersion	s y b m ɛ ʁ s j ɔ̃
substance	s y p s t ɑ̃ s
sécroulât	s e k ʁ u l ɑ
successivement	s y k s ɛ s i v m ɑ̃
sélancèrent	s e l ɑ̃ s ɛ ʁ
sémeuton	s ɛ m ø t ɔ̃
sépandre	s e p ɑ̃ d ʁ
sétaient	s e t ɛ
sétant	s e t ɑ̃
sétendit	s e t ɑ̃ d i
sétonna	s e t ɔ n a
sévader	s e v a d e
sévanouir	s e v a n w i ʁ
sévanouissent	s e v a n w i s
t'ai	t
t'ai	t e
t'aime	t m
t'aime	t ɛ m
t'assure	t a s y ʁ
t'attrape	t a t ʁ a p
vraie	v ʁ ɛ
t'avoir	t a v w a ʁ
t'ennuiera	t ɑ̃ n ɥ i ʁ a
sueurs	s ɥ œ ʁ
vraiment	v ʁ ɛ m
vraiment	v ʁ ɛ m ɑ̃
t'expliquer	t ɛ k s p ʎ i c e
suffiratelle	s y f i ʁ a t ɛ l
vrais	v ʁ ɛ
vrais	v ʁ ɛ s ɛ
t'offre	t ɔ f ʁ
t'offre	t ɔ ɔ f ʁ
t'y	t i
vraisemblablement	v ʁ ɛ s ɑ̃ b l a b l ə m ɑ̃
vus	v y
véda	v e d a
végétation	v e ʒ e t a s j ɔ̃
véhicule	v e i k y l
véhiculeslà	v e i k y l e s l a
véhiculeslà	v e i k y l ɛ s l a
vénère	v e n ɛ ʁ
vénérable	v e n e ʁ a b l
vénérables	v e n e ʁ a b l
vénérer	v e n e ʁ e
vérifia	v e ʁ i f j a
vérifié	v e ʁ i f j e
véritable	v e ʁ i t a b l
vérité	v e ʁ i t e
vétéran	v e t e ʁ ɑ̃
vêtement	v ɛ t m ɑ̃
t'époumones	t e p u m ɔ n
suffisant	s y f i z ɑ̃
vêtements	v ɛ t m ɑ̃
vînt	v ɛ̃
vôtre	v o t ʁ
vôtres	v o t ʁ
watteau	w a t o
whist	w i s t
whist	w i s ɛ
wilson	w i l s ɔ̃
suffoqua	s y f ɔ k a
xiième	ɡ z i z j ɛ m
xiième	ɡ z j ɛ m
xvi	k v i
suffrage	s y f ʁ a ʒ
suggérées	s y ɡ ʒ e ʁ e
xviii	k v i
xviii	k v i a i
xviii	k v i a s e
xviii	k v i e
xviii	k v i i
xviii	k v i i i
xviii	k v i i z e
xviii	k v i j i
xviii	k v i s e
xviii	k v i s ɛ j
xviii	k v i s ɛ s e
xviii	k v i z e
xviii	k v i z ə s e
xviii	k v i z ə z e
xx	k s ø
suie	s ɥ i
suif	s ɥ i f
suintent	s ɥ ɛ̃ t
suisje	s w i s ʒ
suisje	s ɥ i s ʒ
tabatière	t a b a t j ɛ ʁ
xxii	k s e
xxii	ɡ k s e
xxii	ɡ k s ɛ j
tableaux	t a b l o
xxème	k s ɛ m
xxème	ɡ k s ɛ m
yeux	j ø
taille	t a j
taille	t ɑ j
taisezvous	t e v u
taisezvous	t ɛ z e v u
suivons	s ɥ i v ɔ̃
yvon	i v ɔ̃
zigzag	z i z a ɡ
zinc	z ɛ̃ k
zone	z o n
sujette	s y ʒ ɛ t
zoïle	z ɔ i z ɛ l
tambours	t ɑ̃ b u ʁ
tant	t ɑ̃
tapissières	t a p i s j ɛ ʁ
superficie	s y p ɛ ʁ f i
superficie	s y p ɛ ʁ f i s i
zèle	z ɛ l
taquineries	t a c i n ʁ i
zélée	z e l e
zénith	z e ɲ i t
âme	ɑ m
âne	ɑ n
ça	s a
çà	s a
ébaucha	e b o ʃ a
ébauché	e b o ʃ e
ébloui	e b l u i
éblouis	e b l u i
éblouissement	e b l u i s m ɑ̃
éboulement	e b u l m ɑ̃
