dijo	d̪ i x o
recordado	r e k o r ð a ð o
resbalar	r e s β a l a ɾ
retirarme	r e t̪ i ɾ a r m e
resbalarían	r e s β a l a ɾ i a n
retiraros	r e t̪ i ɾ a ɾ o s
retirarse	r e t̪ i ɾ a r s e
recordarás	r e k o r ð a ɾ a s
resentimientos	r e s e n t̪ i m j e n t̪ o s
retiraré	r e t̪ i ɾ a ɾ e
recordó	r e k o r ð o
retiro	r e t̪ i ɾ o
recorrer	r e k o r e ɾ
retirábamos	r e t̪ i ɾ a β a m o s
recorrido	r e k o r i ð o
reservadísima	r e s e r β a ð i s i m a
retiré	r e t̪ i ɾ e
recorrimos	r e k o r i m o s
resguardada	r e s ɣ w a r ð a ð a
reto	r e t̪ o
recorriéndola	r e k o r j e n d̪ o l a
resguardados	r e s ɣ w a r ð a ð o s
retorcían	r e t̪ o ɾ θ i a n
resguardo	r e s ɣ w a r ð o
retractación	r e t̪ ɾ a ɣ t̪ a θ j o n
recreaban	r e k ɾ e a β a n
residencia	r e s i ð e n θ j a
retroceder	r e t̪ ɾ o θ e ð e ɾ
recriminaciones	r e k ɾ i m i n a θ j o n e s
residido	r e s i ð i ð o
recta	r e ɣ t̪ a
residía	r e s i ð i a
retrocediendo	r e t̪ ɾ o θ e ð j e n d̪ o
retrocediera	r e t̪ ɾ o θ e ð j e ɾ a
rectamente	r e ɣ t̪ a m e n t̪ e
resignarme	r e s i ɣ n a r m e
retrocedió	r e t̪ ɾ o θ e ð j o
recto	r e ɣ t̪ o
resigné	r e s i ɣ n e
retrocedían	r e t̪ ɾ o θ e ð i a n
rectos	r e ɣ t̪ o s
resignó	r e s i ɣ n o
retroceso	r e t̪ ɾ o θ e s o
recuerdas	r e k w e r ð a s
resistas	r e s i s t̪ a s
retuerce	r e t̪ w e ɾ θ e
retumbado	r e t̪ u m b a ð o
resistiera	r e s i s t̪ j e ɾ a
retumbaron	r e t̪ u m b a ɾ o n
reunidas	r e u n i ð a s
resistirlo	r e s i s t̪ i r l o
reunidos	r e u n i ð o s
recusantem	r e k u s a n t̪ e m
resisto	r e s i s t̪ o
reuniose	r e u ɲ j o s e
rededor	r e ð e ð o ɾ
resoluciones	r e s o l u θ j o n e s
reunirnos	r e u n i r n o s
redoblase	r e ð o β l a s e
reunió	r e u ɲ j o
resolvimos	r e s o l β i m o s
reunión	r e u ɲ j o n
resonaba	r e s o n a β a
revela	r e β e l a
resonaron	r e s o n a ɾ o n
revelaban	r e β e l a β a n
redondel	r e ð o n d̪ e l
resorte	r e s o r t̪ e
revelado	r e β e l a ð o
reduce	r e ð u θ e
respectiva	r e s p e k t̪ i β a
respectiva	r e s p e ɣ t̪ i β a
revelar	r e β e l a ɾ
reductos	r e ð u ɣ t̪ o s
respecto	r e s p e k t̪ o
revelaran	r e β e l a ɾ a n
referente	r e f e ɾ e n t̪ e
revele	r e β e l e
referentes	r e f e ɾ e n t̪ e s
revelársela	r e β e l a r s e l a
respetan	r e s p e t̪ a n
reverdecer	r e β e r ð e θ e ɾ
refería	r e f e ɾ i a
reverenciadísimo	r e β e ɾ e n θ j a ð i s i m o
referís	r e f e ɾ i s
respetarán	r e s p e t̪ a ɾ a n
reverencio	r e β e ɾ e n θ j o
revienta	r e β j e n t̪ a
reviernes	r e β j e r n e s
refiriome	r e f i ɾ j o m e
respira	r e s p i ɾ a
revista	r e β i s t̪ a
reflejarse	r e f l e x a r s e
respiraba	r e s p i ɾ a β a
revolcón	r e β o l k o n
respiración	r e s p i ɾ a θ j o n
revoloteaba	r e β o l o t̪ e a β a
revoloteara	r e β o l o t̪ e a ɾ a
reflexioné	r e f l e ɣ s j o n e
respiro	r e s p i ɾ o
revolucionario	r e β o l u θ j o n a ɾ j o
reforzada	r e f o r θ a ð a
resplandeciente	r e s p l a n d̪ e θ j e n t̪ e
revoluciones	r e β o l u θ j o n e s
reforzados	r e f o r θ a ð o s
resplandeció	r e s p l a n d̪ e θ j o
revolver	r e β o l β e ɾ
reforzarle	r e f o r θ a r l e
resplandor	r e s p l a n d̪ o ɾ
revolvía	r e β o l β i a
refrene	r e f ɾ e n e
responde	r e s p o n d̪ e
revuelta	r e β w e l t̪ a
refrescarnos	r e f ɾ e s k a r n o s
revueltos	r e β w e l t̪ o s
responder	r e s p o n d̪ e ɾ
revuelve	r e β w e l β e
refrán	r e f ɾ a n
respondiome	r e s p o n d̪ j o m e
revés	r e β e s
rey	r e i
reyerta	r e ʝ e r t̪ a
refugio	r e f u x j o
respondían	r e s p o n d̪ i a n
reyes	r e ʝ e s
regalado	r e ɣ a l a ð o
reza	r e θ a
regalaron	r e ɣ a l a ɾ o n
resquicio	r e s c i θ j o
rezado	r e θ a ð o
regalitos	r e ɣ a l i t̪ o s
rezagaban	r e θ a ɣ a β a n
rezamos	r e θ a m o s
regar	r e ɣ a ɾ
restablecimiento	r e s t̪ a β l e θ i m j e n t̪ o
rezando	r e θ a n d̪ o
regañadientes	r e ɣ a ɲ a ð j e n t̪ e s
restauración	r e s t̪ a u ɾ a θ j o n
rezara	r e θ a ɾ a
resto	r e s t̪ o
rezo	r e θ o
regimentando	r e ç i m e n t̪ a n d̪ o
restos	r e s t̪ o s
rezos	r e θ o s
regimientode	r e ç i m j e n t̪ o ð e
rezó	r e θ o
regimientosde	r e ç i m j e n t̪ o s ð e
resucitan	r e s u θ i t̪ a n
registraran	r e ç i s t̪ ɾ a ɾ a n
resueltamente	r e s w e l t̪ a m e n t̪ e
reía	r e i a
regocijaba	r e ɣ o θ i x a β a
resuenan	r e s w e n a n
regocijaban	r e ɣ o θ i x a β a n
regocijamos	r e ɣ o θ i x a m o s
resultar	r e s u l t̪ a ɾ
reíme	r e i m e
regocijarse	r e ɣ o θ i x a r s e
resultas	r e s u l t̪ a s
reír	r e i ɾ
resume	r e s u m e
regocijó	r e ɣ o θ i x o
resumen	r e s u m e n
regresaba	r e ɣ ɾ e s a β a
resurrección	r e s u r e ɣ θ j o n
reírse	r e i r s e
reírse	r e i s e
regresamos	r e ɣ ɾ e s a m o s
reñida	r e ɲ i ð a
regresé	r e ɣ ɾ e s e
retahíla	r e t̪ a i
retahíla	r e t̪ a i l a
retahíla	r e t̪ i l a
reñí	r e ɲ i
rehacía	r e a θ i a
retebién	r e t̪ e β j e n
reúna	r e u n a
rehecha	r e e tʃ a
retención	r e t̪ e n θ j o n
riachuelo	r j a tʃ w e l o
rehenes	r e e n e s
retener	r e t̪ e n e ɾ
retenía	r e t̪ e n i a
rica	r i k a
retiene	r e t̪ j e n e
retiraba	r e t̪ i ɾ a β a
retirados	r e t̪ i ɾ a ð o s
ricas	r i k a s
rico	r i k o
retiran	r e t̪ i ɾ a n
reinaban	r e i n a β a n
reiría	r e i ɾ i a
reiterados	r e i t̪ e ɾ a ð o s
ricos	r i k o s
retirara	r e t̪ i ɾ a ɾ a
ridícula	r i ð i k u l a
retiraron	r e t̪ i ɾ a ɾ o n
ridículo	r i ð i k u l o
relamido	r e l a m i ð o
riendas	r j e n d̪ a s
relativa	r e l a t̪ i β a
riendo	r j e n d̪ o
relativas	r e l a t̪ i β a s
retirándome	r e t̪ i ɾ a n d̪ o m e
rieron	r j e ɾ o n
relevaban	r e l e β a β a n
right	r i t̪
retiró	r e t̪ i ɾ o
religiosas	r e l i x j o s a s
rigor	r i ɣ o ɾ
retos	r e t̪ o s
rigores	r i ɣ o ɾ e s
retozona	r e t̪ o θ o n a
relincharon	r e l i n tʃ a ɾ o n
rigurosa	r i ɣ u ɾ o s a
retrato	r e t̪ ɾ a t̪ o
rimbombancia	r i m b o m b a n θ j a
relucir	r e l u θ i ɾ
rincones	r i ŋ k o n e s
relámpagos	r e l a m p a ɣ o s
rindió	r i n d̪ j o
retrocederán	r e t̪ ɾ o θ e ð e ɾ a n
remataba	r e m a t̪ a β a
riojano	r j o x a n o
rematando	r e m a t̪ a n d̪ o
riquezas	r i c e θ a s
remedaba	r e m e ð a β a
riquísimo	r i c i s i m o
retrocedía	r e t̪ ɾ o θ e ð i a
risa	r i s a
remediarla	r e m e ð j a r l a
retrospectivamente	r e t̪ ɾ o s p e ɣ t̪ i β a m e n t̪ e
risas	r i s a s
retumbantes	r e t̪ u m b a n t̪ e s
remiendos	r e m i e n d̪ o s
remiendos	r e m j e n d̪ o s
risueña	r i s w e ɲ a
reuma	r e u m a
remojar	r e m o x a ɾ
ritmo	r i ð m o
remota	r e m o t̪ a
rivales	r i β a l e s
reunido	r e u n i ð o
remotos	r e m o t̪ o s
riéndose	r j e n d̪ o s e
reuniones	r e u ɲ j o n e s
rempujen	r e m p u ç e n
riñendo	r i ɲ e n d̪ o
reunirlo	r e u n i r l o
renaciente	r e n a θ j e n t̪ e
robada	r o β a ð a
reuniéndose	r e u ɲ j e n d̪ o s e
robado	r o β a ð o
reunía	r e u n i a
rencorosos	r e ŋ k o ɾ o s o s
revelaba	r e β e l a β a
robar	r o β a ɾ
revelación	r e β e l a θ j o n
robarme	r o β a r m e
reveladoras	r e β e l a ð o ɾ a s
renovaban	r e n o β a β a n
roben	r o β e n
revelarme	r e β e l a r m e
robo	r o β o
renunciar	r e n u n θ j a ɾ
robusta	r o β u s t̪ a
reventaba	r e β e n t̪ a β a
reparaba	r e p a ɾ a β a
robustos	r o β u s t̪ o s
reventando	r e β e n t̪ a n d̪ o
reparador	r e p a ɾ a ð o ɾ
robé	r o β e
reverencia	r e β e ɾ e n θ j a
reverencias	r e β e ɾ e n θ j a s
repartido	r e p a r t̪ i ð o
robó	r o β o
reverente	r e β e ɾ e n t̪ e
repartirse	r e p a r t̪ i r s e
rocador	r o k a ð o ɾ
revienten	r e β i e n t̪ e n
revienten	r e β j e n t̪ e n
repartían	r e p a r t̪ i a n
rocío	r o θ i o
repasar	r e p a s a ɾ
rodaban	r o ð a β a n
revolcaban	r e β o l k a β a n
rodando	r o ð a n d̪ o
revoloteaban	r e β o l o t̪ e a β a n
rodase	r o ð a s e
revoltoso	r e β o l t̪ o s o
repentinamente	r e p e n t̪ i n a m e n t̪ e
rodeaban	r o ð e a β a n
revolucionarios	r e β o l u θ j o n a ɾ j o s
repertorio	r e p e r t̪ o ɾ j o
revolución	r e β o l u θ j o n
repetido	r e p e t̪ i ð o
rodean	r o ð e a n
rodearon	r o ð e a ɾ o n
revolvió	r e β o l β j o
repetirse	r e p e t̪ i r s e
rodilla	r o ð i ʎ a
revolvían	r e β o l β i a n
rodillas	r o ð i ʎ a s
revuelto	r e β w e l t̪ o
roepandectas	r o e p a n d̪ e ɣ t̪ a s
roepandectas	r o e p d̪ e ɣ t̪ a s
repetían	r e p e t̪ i a n
rogasen	r o ɣ a s e n
repiques	r e p i c e s
rogó	r o ɣ o
repite	r e p i t̪ e
roja	r o x a
reyertas	r e ʝ e r t̪ a s
repitiera	r e p i t̪ j e ɾ a
repitiesen	r e p i t̪ j e s e n
rojiza	r o ç i θ a
rezaban	r e θ a β a n
replegado	r e p l e ɣ a ð o
roleta	r o l e t̪ a
rezagada	r e θ a ɣ a ð a
replegar	r e p l e ɣ a ɾ
rom	r o m
rezagara	r e θ a ɣ a ɾ a
replegaron	r e p l e ɣ a ɾ o n
romance	r o m a n θ e
rezar	r e θ a ɾ
replegándose	r e p l e ɣ a n d̪ o s e
romances	r o m a n θ e s
reposados	r e p o s a ð o s
romanos	r o m a n o s
rompe	r o m p e
romperlos	r o m p e r l o s
rezábamos	r e θ a β a m o s
representaba	r e p ɾ e s e n t̪ a β a
romperá	r o m p e ɾ a
reían	r e i a n
representado	r e p ɾ e s e n t̪ a ð o
rompiéndole	r o m p j e n d̪ o l e
rompí	r o m p i
rompíanse	r o m p i a n s e
representé	r e p ɾ e s e n t̪ e
ronca	r o ŋ k a
reírme	r e i ɾ m e
reprimía	r e p ɾ i m i a
ronco	r o ŋ k o
ronda	r o n d̪ a
reproducción	r e p ɾ o ð u ɣ θ j o n
reís	r e i s
reproducido	r e p ɾ o ð u θ i ð o
reñido	r e ɲ i ð o
ronquido	r o ɲ c i ð o
reproducíamos	r e p ɾ o ð u θ i a m o s
reñía	r e ɲ i a
ropa	r o p a
republicano	r e p u β l i k a n o
reúnen	r e u n e n
rial	r j a l
ribera	r i β e ɾ a
rosados	r o s a ð o s
rosario	r o s a ɾ j o
ricamente	r i k a m e n t̪ e
rosicler	r o s i k l e ɾ
república	r e p u β l i k a
rostro	r o s t̪ ɾ o
requemadas	r e c e m a ð a s
rostros	r o s t̪ ɾ o s
requiero	r e k j e ɾ o
roto	r o t̪ o
resbaladizos	r e s β a l a ð i θ o s
rotos	r o t̪ o s
resecados	r e s e k a ð o s
rozaba	r o θ a β a
rozadura	r o θ a ð u ɾ a
rozaduras	r o θ a ð u ɾ a s
reservaba	r e s e r β a β a
riesgo	r j e s ɣ o
rozara	r o θ a ɾ a
reservado	r e s e r β a ð o
rigidez	r i ç i ð e θ
rubias	r u β j a s
reseñorona	r e s e ɲ o ɾ o n a
rubios	r u β j o s
resguardadas	r e s ɣ w a r ð a ð a s
rubor	r u β o ɾ
resguardar	r e s ɣ w a r ð a ɾ
rigurosas	r i ɣ u ɾ o s a s
ruborizarse	r u β o ɾ i θ a r s e
rinconcito	r i ŋ k o n θ i t̪ o
rudeza	r u ð e θ a
residentes	r e s i ð e n t̪ e s
rincón	r i ŋ k o n
rudos	r u ð o s
residir	r e s i ð i ɾ
rindieron	r i n d̪ j e ɾ o n
ruedas	r w e ð a s
resignaba	r e s i ɣ n a β a
riose	r j o s e
ruegan	r w e ɣ a n
resignada	r e s i ɣ n a ð a
riqueza	r i c e θ a
ruegos	r w e ɣ o s
resignarse	r e s i ɣ n a r s e
riquísima	r i c i s i m a
rugir	r u ç i ɾ
resintió	r e s i n t̪ j o
rugía	r u ç i a
resiste	r e s i s t̪ e
ruido	r w i ð o
resistiendo	r e s i s t̪ j e n d̪ o
risolvimos	r i s o l β i m o s
ruidosa	r w i ð o s a
ruidosos	r w i ð o s o s
risueño	r i s w e ɲ o
ruin	r w i n
resistirme	r e s i s t̪ i r m e
ruina	r w i n a
resistí	r e s i s t̪ i
riáis	r j a i s
ruinas	r w i n a s
riña	r i ɲ a
ruinosa	r w i n o s a
riñen	r i ɲ e n
rumor	r u m o ɾ
rió	r j o
rumores	r u m o ɾ e s
resolví	r e s o l β i
rusa	r u s a
resonar	r e s o n a ɾ
robadas	r o β a ð a s
rusiacos	r u s j a k o s
resonó	r e s o n o
roban	r o β a n
rusos	r u s o s
resoplidos	r e s o p l i ð o s
robara	r o β a ɾ a
ruégale	r w e ɣ a l
ruégale	r w e ɣ a l e
respectivamente	r e s p e k t̪ i β a m e n t̪ e
respectivamente	r e s p e ɣ t̪ i β a m e n t̪ e
robarnos	r o β a r n o s
rábanos	r a β a n o s
respetaba	r e s p e t̪ a β a
rápida	r a p i ð a
robusteces	r o β u s t̪ e θ e s
rápidamente	r a p i ð a m e n t̪ e
respetada	r e s p e t̪ a ð a
robustísimo	r o β u s t̪ i s i m o
réprobo	r e p ɾ o β o
respetando	r e s p e t̪ a n d̪ o
roca	r o k a
ríes	r i e s
respetemos	r e s p e t̪ e m o s
rocas	r o k a s
rígidas	r i ç i ð a s
rodaba	r o ð a β a
río	r i o
respetuosamente	r e s p e t̪ w o s a m e n t̪ e
rodado	r o ð a ð o
respirando	r e s p i ɾ a n d̪ o
rodeaba	r o ð e a β a
rómpele	r o m p e l e
respiré	r e s p i ɾ e
rústico	r u s t̪ i k o
resplandecimiento	r e s p l a n d̪ e θ i m j e n t̪ o
rodeada	r o ð e a ð a
sabandijo	s a β a n d̪ i x o
resplandecían	r e s p l a n d̪ e θ i a n
rodeando	r o ð e a n d̪ o
sabed	s a β e ð
respondan	r e s p o n d̪ a n
rodeos	r o ð e o s
sabemos	s a β e m o s
saber	s a β e ɾ
respondieron	r e s p o n d̪ j e ɾ o n
rogaban	r o ɣ a β a n
saberlo	s a β e r l o
respondo	r e s p o n d̪ o
rogando	r o ɣ a n d̪ o
sabes	s a β e s
rogar	r o ɣ a ɾ
responsabilidad	r e s p o n s a β i l i ð a ð
rogándole	r o ɣ a n d̪ o l e
sabido	s a β i ð o
resta	r e s t̪ a
rojas	r o x a s
sabiduría	s a β i ð u ɾ i a
restablecerá	r e s t̪ a β l e θ e ɾ a
rojos	r o x o s
sabio	s a β j o
roletas	r o l e t̪ a s
sablazo	s a β l a θ o
restantes	r e s t̪ a n t̪ e s
sablazos	s a β l a θ o s
restañó	r e s t̪ a ɲ o
sable	s a β l e
romancesca	r o m a n θ e s k a
romos	r o m o s
romper	r o m p e ɾ
resucitados	r e s u θ i t̪ a ð o s
sabor	s a β o ɾ
romperse	r o m p e r s e
saboreando	s a β o ɾ e a n d̪ o
sabrás	s a β ɾ a s
rompieron	r o m p j e ɾ o n
sabéis	s a β e i s
sabía	s a β i a
rompió	r o m p j o
sabían	s a β i a n
rompía	r o m p i a
románticas	r o m a n t̪ i k a s
rondón	r o n d̪ o n
resucitas	r e s u θ i t̪ a s
ronquidos	r o ɲ c i ð o s
sacaba	s a k a β a
sacadas	s a k a ð a s
rosa	r o s a
sacando	s a k a n d̪ o
rosales	r o s a l e s
sacaremos	s a k a ɾ e m o s
sacarme	s a k a r m e
sacaron	s a k a ɾ o n
sacarte	s a k a r t̪ e
resuena	r e s w e n a
rosarios	r o s a ɾ j o s
sacará	s a k a ɾ a
resultaba	r e s u l t̪ a β a
sacarán	s a k a ɾ a n
sacaría	s a k a ɾ i a
resultará	r e s u l t̪ a ɾ a
rota	r o t̪ a
sacaste	s a k a s t̪ e
resultó	r e s u l t̪ o
rotas	r o t̪ a s
sacerdote	s a θ e r ð o t̪ e
sacerdotes	s a θ e r ð o t̪ e s
resumiendo	r e s u m j e n d̪ o
rotundo	r o t̪ u n d̪ o
saciado	s a θ j a ð o
retablos	r e t̪ a β l o s
saco	s a k o
sacos	s a k o s
retama	r e t̪ a m a
rozar	r o θ a ɾ
sacramento	s a k ɾ a m e n t̪ o
retemblar	r e t̪ e m b l a ɾ
roñosa	r o ɲ o s a
sacrificas	s a k ɾ i f i k a s
retenerte	r e t̪ e n e r t̪ e
rubia	r u β j a
sacrificios	s a k ɾ i f i θ j o s
retienen	r e t̪ j e n e n
rubio	r u β j o
sacristán	s a k ɾ i s t̪ a n
retiraban	r e t̪ i ɾ a β a n
ruborizarme	r u β o ɾ i θ a r m e
sacudida	s a k u ð i ð a
rudas	r u ð a s
sacudiera	s a k u ð j e ɾ a
rudimentos	r u ð i m e n t̪ o s
sacudir	s a k u ð i ɾ
sacudiéndola	s a k u ð j e n d̪ o l a
ruego	r w e ɣ o
sacudiéndose	s a k u ð j e n d̪ o s e
rugido	r u ç i ð o
sacándome	s a k a n d̪ o m e
rugió	r u x j o
sagrada	s a ɣ ɾ a ð a
retire	r e t̪ i ɾ e
rugían	r u ç i a n
sagrados	s a ɣ ɾ a ð o s
sainetero	s a i n e t̪ e ɾ o
retirándose	r e t̪ i ɾ a n d̪ o s e
ruidos	r w i ð o s
sala	s a l a
retorcidos	r e t̪ o ɾ θ i ð o s
ruidosas	r w i ð o s a s
retratada	r e t̪ ɾ a t̪ a ð a
salamanquino	s a l a m a ɲ c i n o
saldrán	s a l d̪ ɾ a n
saldré	s a l d̪ ɾ e
retrocedido	r e t̪ ɾ o θ e ð i ð o
ruindad	r w i n d̪ a ð
sale	s a l e
rumbo	r u m b o
salga	s a l ɣ a
retrocedieron	r e t̪ ɾ o θ e ð j e ɾ o n
salgan	s a l ɣ a n
retrocedíamos	r e t̪ ɾ o θ e ð i a m o s
salgáis	s a l ɣ a i s
rusas	r u s a s
salida	s a l i ð a
retumbaban	r e t̪ u m b a β a n
rusoaustriaco	r u s o a u s t̪ ɾ j a k o
salidas	s a l i ð a s
retumbar	r e t̪ u m b a ɾ
salidos	s a l i ð o s
retumbó	r e t̪ u m b o
saliera	s a l j e ɾ a
ría	r i a
salieron	s a l j e ɾ o n
reunida	r e u n i ð a
rías	r i a s
salimos	s a l i m o s
ríen	r i e n
salir	s a l i ɾ
reunimos	r e u n i m o s
rígida	r i ç i ð a
reunir	r e u n i ɾ
rígido	r i ç i ð o
reunirse	r e u n i r s e
saliva	s a l i β a
reuní	r e u n i
rúbricas	r u β ɾ i k a s
reunían	r e u n i a n
salió	s a l j o
revelaciones	r e β e l a θ j o n e s
salpicado	s a l p i k a ð o
revelando	r e β e l a n d̪ o
sabe	s a β e
salpicar	s a l p i k a ɾ
revelarles	r e β e l a r l e s
salpique	s a l p i c e
reveló	r e β e l o
saben	s a β e n
saltaba	s a l t̪ a β a
reventado	r e β e n t̪ a ð o
saltaban	s a l t̪ a β a n
saltaron	s a l t̪ a ɾ o n
saberse	s a β e r s e
saltitos	s a l t̪ i t̪ o s
reverencie	r e β e ɾ e n θ j e
sabia	s a β j a
salto	s a l t̪ o
reverendo	r e β e ɾ e n d̪ o
saltuario	s a l t̪ w a ɾ j o
reviente	r e β j e n t̪ e
sabiendo	s a β j e n d̪ o
salud	s a l u ð
revisando	r e β i s a n d̪ o
sabiéndolo	s a β j e n d̪ o l o
saludable	s a l u ð a β l e
revistiendo	r e β i s t̪ j e n d̪ o
saludan	s a l u ð a n
revoloteando	r e β o l o t̪ e a n d̪ o
saludarla	s a l u ð a r l a
revolucionaria	r e β o l u θ j o n a ɾ j a
saludaron	s a l u ð a ɾ o n
sables	s a β l e s
saludome	s a l u ð o m e
revolviéndolos	r e β o l β j e n d̪ o l o s
sabremos	s a β ɾ e m o s
saludándome	s a l u ð a n d̪ o m e
revueltas	r e β w e l t̪ a s
sabroso	s a β ɾ o s o
saludó	s a l u ð o
sabréis	s a β ɾ e i s
salva	s a l β a
salvación	s a l β a θ j o n
sabíais	s a β i a i s
salvada	s a l β a ð a
salvadora	s a l β a ð o ɾ a
saca	s a k a
salvaguardia	s a l β a ɣ w a r ð j a
sacada	s a k a ð a
salvando	s a l β a n d̪ o
sacado	s a k a ð o
salvarme	s a l β a r m e
rezadoras	r e θ a ð o ɾ a s
sacamos	s a k a m o s
salvaron	s a l β a ɾ o n
sacara	s a k a ɾ a
salvarte	s a l β a r t̪ e
sacarle	s a k a r l e
salve	s a l β e
salvo	s a l β o
rezaremos	r e θ a ɾ e m o s
sacarreal	s a k a r e a l
salvándole	s a l β a n d̪ o l e
salí	s a l i
sacarás	s a k a ɾ a s
salía	s a l i a
sacase	s a k a s e
salíadel	s a l i a ð e l
sacasteis	s a k a s t̪ e i s
salían	s a l i a n
sandez	s a n d̪ e θ
reído	r e i ð o
sandías	s a n d̪ i a s
saciedad	s a θ j e ð a ð
sangre	s a ŋ ɡ ɾ e
sacra	s a k ɾ a
sacrificar	s a k ɾ i f i k a ɾ
sangrienta	s a ŋ ɡ ɾ j e n t̪ a
sacrificio	s a k ɾ i f i θ j o
sangrientas	s a ŋ ɡ ɾ j e n t̪ a s
reñir	r e ɲ i ɾ
sanguinariaseñores	s a ɲ ɟ i n a ɾ j a s e ɲ o ɾ e s
reñiremos	r e ɲ i ɾ e m o s
santiamén	s a n t̪ j a m e n
santo	s a n t̪ o
riberas	r i β e ɾ a s
sacudidas	s a k u ð i ð a s
sacudimiento	s a k u ð i m j e n t̪ o
santos	s a n t̪ o s
sacudiéndolo	s a k u ð j e n d̪ o l o
sacudió	s a k u ð j o
sapientísimo	s a p j e n t̪ i s i m o
sacudía	s a k u ð i a
saque	s a c e
sacáronla	s a k a r o n
sacáronla	s a k a ɾ o n
sacáronla	s a k a ɾ o n l a
sacáronla	s a k a ɾ o ŋ l a
saqueado	s a c e a ð o
ridículas	r i ð i k u l a s
sagrado	s a ɣ ɾ a ð o
saquear	s a c e a ɾ
ridículos	r i ð i k u l o s
saqueo	s a c e o
sajona	s a x o n a
sarcasmo	s a r k a s m o
sajón	s a x o n
sargento	s a r ç e n t̪ o
sal	s a l
sargentos	s a r ç e n t̪ o s
rigen	r i ç e n
sarna	s a r n a
rigionum	r i x j o n u m
rigionum	r i ç i o n u m
saladísimo	s a l a ð i s i m o
sartén	s a r t̪ e n
salas	s a l a s
sastre	s a s t̪ ɾ e
riguroso	r i ɣ u ɾ o s o
saldremos	s a l d̪ ɾ e m o s
satisfacción	s a t̪ i s f a ɣ θ j o n
salen	s a l e n
satisfacer	s a t̪ i s f a θ e ɾ
rindiese	r i n d̪ j e s e
satisfactorios	s a t̪ i s f a ɣ t̪ o ɾ j o s
salgo	s a l ɣ o
satisfechas	s a t̪ i s f e tʃ a s
satisfecho	s a t̪ i s f e tʃ o
rire	r i ɾ e
satisfechos	s a t̪ i s f e tʃ o s
salido	s a l i ð o
satélite	s a t̪ e l i t̪ e
saliendo	s a l j e n d̪ o
satélites	s a t̪ e l i t̪ e s
saurio	s a u ɾ j o
risotada	r i s o t̪ a ð a
savia	s a β j a
rival	r i β a l
sazón	s a θ o n
rizos	r i θ o s
saña	s a ɲ a
sañudamente	s a ɲ u ð a m e n t̪ e
sean	s e a n
roba	r o β a
salisteis	s a l i s t̪ e i s
sebo	s e β o
secaban	s e k a β a n
secas	s e k a s
salmorejo	s a l m o ɾ e x o
secos	s e k o s
salpicando	s a l p i k a n d̪ o
robao	r o β a o
salta	s a l t̪ a
secreta	s e k ɾ e t̪ a
secretas	s e k ɾ e t̪ a s
robe	r o β e
saltando	s a l t̪ a n d̪ o
roble	r o β l e
salteadores	s a l t̪ e a ð o ɾ e s
secreto	s e k ɾ e t̪ o
secretos	s e k ɾ e t̪ o s
robusto	r o β u s t̪ o
saltó	s a l t̪ o
secta	s e ɣ t̪ a
robustísimas	r o β u s t̪ i s i m a s
secuestrador	s e k w e s t̪ ɾ a ð o ɾ
secuestro	s e k w e s t̪ ɾ o
roce	r o θ e
saludaban	s a l u ð a β a n
sed	s e ð
rocín	r o θ i n
saludamos	s a l u ð a m o s
saludarnos	s a l u ð a r n o s
rodamos	r o ð a m o s
saludes	s a l u ð e s
rodar	r o ð a ɾ
saludo	s a l u ð o
seda	s e ð a
saludándola	s a l u ð a n d̪ o l a
rodeado	r o ð e a ð o
rodear	r o ð e a ɾ
salutaris	s a l u t̪ a ɾ i s
sedienta	s e ð j e n t̪ a
sedientos	s e ð j e n t̪ o s
salvaje	s a l β a ç e
seducen	s e ð u θ e n
seducir	s e ð u θ i ɾ
seductora	s e ð u ɣ t̪ o ɾ a
salvajes	s a l β a ç e s
rodeo	r o ð e o
segados	s e ɣ a ð o s
salvajismo	s a l β a ç i s m o
seglar	s e ɣ l a ɾ
salvarla	s a l β a r l a
salvarse	s a l β a r s e
seguidas	s e ʝ i ð a s
seguidilla	s e ʝ i ð i ʎ a
salvaste	s a l β a s t̪ e
seguidos	s e ʝ i ð o s
seguir	s e ʝ i ɾ
salvé	s a l β e
salvó	s a l β o
seguirle	s e ʝ i r l e
seguirles	s e ʝ i r l e s
salíamos	s a l i a m o s
sana	s a n a
seguirnos	s e ʝ i r n o s
seguirá	s e ʝ i ɾ a
sandunga	s a n d̪ u ŋ ɡ a
sandunga	s a n d̪ u ɲ ɟ
sandunga	s a n d̪ u ɲ ɟ a
sandunga	s a n d̪ u ɲ ɟ e
sandunga	s a n d̪ u ɲ ɟ e a
seguiré	s e ʝ i ɾ e
seguirían	s e ʝ i ɾ i a n
segunda	s e ɣ u n d̪ a
segundo	s e ɣ u n d̪ o
sangrientos	s a ŋ ɡ ɾ j e n t̪ o s
segundos	s e ɣ u n d̪ o s
segura	s e ɣ u ɾ a
sano	s a n o
sanos	s a n o s
sans	s a n s
seguridad	s e ɣ u ɾ i ð a ð
santa	s a n t̪ a
santas	s a n t̪ a s
rogado	r o ɣ a ð o
seguro	s e ɣ u ɾ o
santidad	s a n t̪ i ð a ð
seguros	s e ɣ u ɾ o s
seguía	s e ʝ i a
rogué	r o ʝ e
seguían	s e ʝ i a n
santurronas	s a n t̪ u r o n a s
