du	d uː
solches	z ɔ l ç ə s
stehen	ʃ t eː n̩
stehenden	ʃ t eː ə n d n̩
steht	ʃ t eː t
solide	z ɔ l iː d ə
steige	ʃ t aj ɡ ə
seidengürtel	z aj d n̩ ɟ ʏ ʁ tʰ l̩
steigen	ʃ t aj ɡ n̩
seidenpapieren	z aj d n̩ pʰ a pʰ iː ʁ n̩
steiger	ʃ t aj ɡ ɐ
seidenspinnerschmetterlinge	z aj d n̩ ʃ p ɪ n ɐ ʃ m ɛ tʰ ɐ l ɪ ŋ ə
seidenspinnerschmetterlinge	z aj d n̩ ʃ p ɪ n ɛ ɐ ʃ m ɛ tʰ ɐ l ɪ ŋ ə
steigern	ʃ t aj ɡ ɐ n
seitenstraßen	z aj tʰ n̩ ʃ t ʁ aː s n̩
somalinegern	z ɔ m a l iː n eː ɡ ɐ n
somalinegern	z ɔ m a l ɪ n eː ɡ ɐ n
somalinegern	z ɔ m a l ɪ n ɛ ɟ ɛ ʁ n
somalinegern	z ɔ m a l ɪ n ɛ ɡ ɐ n
seitenwänden	z aj tʰ n̩ v ɛ n d n̩
sommerkleidern	z ɔ m ɐ k l aj d ɐ n
sommernächte	z ɔ m ɐ n ɛ ç tʰ ə
sommertagen	z ɔ m ɐ tʰ aː ɡ n̩
sonderbare	z ɔ n d ɐ b aː ʁ ə
sonderbare	z ɔ n d ə ʁ b aː ʁ ə
steilen	ʃ t aj l n̩
sonderlich	z ɔ n d ɐ l ɪ ç
steine	ʃ t aj n ə
sekunden	z ɛ kʰ ʊ n d n̩
selbstgespräch	z ɛ l p s t ɡ ə ʃ p ʁ eː ç
steinen	ʃ t aj n n̩
selbstmystifikation	z ɛ l p s t m ʏ s t ɪ f ɪ kʰ a t s j oː n
sondern	z ɔ n d ɐ n
sondern	z ɔ n d ə ʁ n
sonderzug	z ɔ n d ɐ ts uː k
sonnenfeurige	z ɔ n ə n f ɔʏ ʁ ɪ ɡ ə
steingebirge	ʃ t aj n ɡ ə b ɪ ʁ ɡ ə
steinhäuser	ʃ t aj n h ɔʏ z ɐ
sonnenhelle	z ɔ n ə n h ɛ l ə
sonnenklar	z ɔ n ə n k l aː ɐ
sonnenmikroskop	z ɔ n ə n m ɪ k ʁ ɔ s k oː p
selbständig	z ɛ l p ʃ t ɛ n d ɪ k
selbständig	z ɛ l p ʃ t ɛ n d ɪ ç
steinlaternen	ʃ t aj n l a tʰ ɛ ʁ n n̩
sonnenscheiben	z ɔ n ə n ʃ aj b n̩
selig	z eː l ɪ k
selig	z eː l ɪ ç
steinsockeln	ʃ t aj n z ɔ kʰ l̩ n
steinsockeln	ʃ t aj n z ɔ kʰ ə l n
sonnensommer	z ɔ n ə n z ɔ m ɐ
stellen	ʃ t ɛ l n̩
stellt	ʃ t ɛ l t
stellte	ʃ t ɛ l tʰ ə
seligen	z eː l ɪ ɡ n̩
seliges	z eː l ɪ ɡ ə s
seltenen	z ɛ l tʰ ə n n̩
sonnenuntergang	z ɔ n ə n ʊ n tʰ ɐ ɡ a ŋ
stellung	ʃ t ɛ l ʊ ŋ
seltner	z ɛ l n ɐ
sonntag	z ɔ n tʰ aː k
stelzen	ʃ t ɛ l ts n̩
stemmte	ʃ t ɛ m tʰ ə
sonntags	z ɔ n tʰ a k s
sonntags	z ɔ n tʰ a x s
sonntags	z ɔ n tʰ aː k s
seltsamer	z ɛ l t z aː m ɐ
stengel	ʃ t ɛ ŋ l̩
senfgelben	z ɛ n f ɟ ɛ l b n̩
senfgelben	z ɛ n f ɡ ə l b n̩
senkrechtem	z ɛ ŋ k ʁ ɛ ç tʰ m̩
senkten	z ɛ ŋ k tʰ n̩
serail	z ɛ ʁ aj l
sterbe	ʃ t ɛ ʁ b ə
sterben	ʃ t ɛ ʁ b n̩
sterbend	ʃ t ɛ ʁ b n̩ t
serapionismus	z ɛ ʁ aː f j oː n ɪ s m ʊ s
serapionismus	z ɛ ʁ aː f oː n ɪ s m ʊ s
sternbilder	ʃ t ɛ ʁ n b ɪ l d ɐ
serapiontischen	z ɛ ʁ aː f n̩ tʰ ɪ ʃ n̩
sternenrichtung	ʃ t ɛ ʁ n ə n ʁ ɪ ç tʰ ʊ ŋ
sorge	z ɔ ʁ ɡ ə
steuermann	ʃ t ɔʏ ɐ m a n
setz	z ɛ ts
sorgen	z ɔ ʁ ɡ n̩
sorgfalt	z ɔ ʁ k f a l t
sorglich	z ɔ ʁ k l ɪ ç
stickte	ʃ t ɪ k tʰ ə
sorgloser	z ɔ ʁ k l oː z ɐ
stiefeln	ʃ t iː f l̩ n
seufzte	z ɔʏ f ts t ə
shawl	ʃ aː l
sorgsamsten	z ɔ ʁ k z aː m s t n̩
sozietät	z ɔ ts ɪ ɛ tʰ eː t
spalte	ʃ p a l tʰ ə
stieg	ʃ t iː k
sibirischen	z ɪ b iː ʁ ɪ ʃ n̩
spanischen	ʃ p a n iː ʃ n̩
spanischen	ʃ p aː n ɪ ʃ n̩
stiege	ʃ t iː ɡ ə
spannung	ʃ p a n ʊ ŋ
stieß	ʃ t iː s
sparsamkeit	ʃ p aː ɐ z aː m kʰ aj t
stießen	ʃ t iː s n̩
spaziergänge	ʃ p a ts iː ɐ ɟ ɛ ŋ ə
still	ʃ t ɪ l
sichtbarlich	z ɪ ç t b aː ɐ l ɪ ç
siderische	s ɪ d eː ʁ ɪ ʃ ə
siebenten	z iː b n̩ tʰ n̩
siebzehn	z iː p ts eː n
siedendes	z iː d n̩ d ə s
spaß	s p ɛ s
spaß	ʃ p aː s
spaßte	ʃ p aː s t
spaßte	ʃ p aː s t ə
speer	ʃ p eː ɐ
speere	ʃ p eː ʁ ə
sieg	z iː k
speisesäle	ʃ p aj z ə z eː l ə
siege	z iː ɡ ə
stille	ʃ t ɪ l ə
speit	ʃ p aj t
siegen	z iː ɡ n̩
siegesfest	z iː ɡ ə s f ɛ s t
siegreichen	z iː k ʁ aj ç n̩
stillen	ʃ t ɪ l n̩
stiller	ʃ t ɪ l ɐ
stillschweigens	ʃ t ɪ l ʃ v aj ɡ ə n s
spektakels	ʃ p ɛ k tʰ aː kʰ l̩ s
sperlinge	ʃ p ɛ ʁ l ɪ ŋ ə
sperlingssaal	ʃ p ɛ ʁ l ɪ ŋ s z aː l
stimmchen	ʃ t ɪ m ç n̩
spiegel	ʃ p iː ɡ l̩
signal	z ɪ ɡ n aː l
stimme	ʃ t ɪ m ə
spiegelbild	ʃ p iː ɡ ə l b ɪ l t
silbe	z ɪ l b ə
silber	z ɪ l b ɐ
silberbergwerke	z ɪ l b ɐ b ɛ ɐ k v ɛ ɐ kʰ ə
silberbergwerke	z ɪ l b ɐ b ɛ ɐ k v ɛ ʁ kʰ ə
spiegelhellen	ʃ p iː ɡ ə l h ɛ l n̩
stimmen	ʃ t ɪ m n̩
stimmt	ʃ t ɪ m t
stimmten	ʃ t ɪ m tʰ n̩
silberglocken	z ɪ l b ɐ ɡ l ɔ kʰ n̩
spiegelnden	ʃ p iː ɡ l̩ n d n̩
spiel	ʃ p iː l
silberlack	z ɪ l b ɐ l a k
silbernes	z ɪ l b ɐ n ə s
silberschmuck	z ɪ l b ɐ ʃ m ʊ k
silberstimme	z ɪ l b ɐ ʃ t ɪ m ə
spiele	ʃ p iː l ə
silberzindels	z ɪ l b ɐ ts ɪ n d l̩ s
silberzindels	z ɪ l b ɐ ts ɪ n d ə l s
silhouetten	z ɪ l h aw ɛ tʰ n̩
spielleute	ʃ p iː l ɔʏ tʰ ə
singapore	z ɪ ŋ ɡ a pʰ oː ʁ ə
singend	z ɪ ŋ ə n t
singender	z ɪ ŋ ə n d ɐ
spielsachen	ʃ p iː l z a x n̩
spielst	ʃ p iː l s t
singt	z ɪ ŋ t
spielt	ʃ p iː l t
spielte	ʃ p iː l tʰ ə
sinnen	z ɪ n n̩
stimmung	ʃ t ɪ m ʊ ŋ
sinneswahrnehmung	z ɪ n ə s v aː ʁ n eː m ʊ ŋ
sinnverstörenden	z ɪ n f ɛ ɐ ʃ t øː ʁ ə n d n̩
spielwarenhändler	ʃ p iː l v aː ʁ ə n h ɛ n d l ɐ
stirbt	ʃ t ɪ ʁ p t
sittsam	z ɪ t z aː m
spielzeugschachteln	ʃ p iː l ts ɔʏ k ʃ a x tʰ l̩ n
spielzeugschachteln	ʃ p iː l ts ɔʏ k ʃ a x tʰ ə l n
spinnen	ʃ p ɪ n n̩
stirn	ʃ t ɪ ʁ n
stirne	ʃ t ɪ ʁ n ə
stockende	ʃ t ɔ cʰ ɛ n d ə
stockknopf	ʃ t ɔ k n ɔ pf
spinnwebgrau	ʃ p ɪ n v eː p ɡ ʁ aw
spitzbube	ʃ p ɪ ts b uː b ə
spitzbübischen	ʃ p ɪ ts b yː b ɪ ʃ n̩
spitzfindigsten	ʃ p ɪ ts f ɪ n d ɪ ç s t n̩
stockung	ʃ t ɔ kʰ ʊ ŋ
spottest	ʃ p ɔ tʰ ə s t
stoffen	ʃ t ɔ f n̩
sitzung	z ɪ ts ʊ ŋ
stolle	ʃ t ɔ l ə
stolz	ʃ t ɔ l ts
stolze	ʃ t ɔ l ts ə
sprach	ʃ p ʁ aː x
sklavendienstes	s k l aː v ə n d iː n s t ə s
stoppeln	ʃ t ɔ pʰ ə l n
skripturen	s k ʁ ɪ p tʰ uː ʁ n̩
so	z oː
so	z ɔ
sobald	z oː b a l t
soeben	z oː eː b n̩
spracht	ʃ p ʁ aː x t
stoß	ʃ t oː s
sprechens	ʃ p ʁ ɛ ç n̩ s
sprechens	ʃ p ʁ ɛ ç ə n s
sog	z oː k
spreizt	ʃ p ʁ aj ts t
stoßen	ʃ t oː s n̩
stoßen	ʃ t ɔ s n̩
stoßes	ʃ t oː s ə s
stoßes	ʃ t ɔ s ə s
stracks	ʃ t ʁ a k s
sogenannten	z oː ɡ ə n a n tʰ n̩
strafe	ʃ t ʁ aː f ə
springbrunnen	ʃ p ʁ ɪ ŋ b ʁ ʊ n n̩
springinsfelden	ʃ p ʁ ɪ ɲ ɪ n s f ɛ l d n̩
straften	ʃ t ʁ aː f tʰ n̩
sproßten	ʃ p ʁ oː s t n̩
strahlen	ʃ t ʁ aː l n̩
solch	z ɔ l ç
solch	z ɔʏ ç
spräche	ʃ p ʁ eː ç ə
strahlender	ʃ t ʁ aː l ə n d ɐ
solcher	z ɔ l ç ɐ
strahlten	ʃ t ʁ aː l tʰ n̩
strand	ʃ t ʁ a n t
soldatenleere	z ɔ l d aː t n l eː ʁ ə
soldatenleere	z ɔ l d aː tʰ n̩ l eː ʁ ə
strandpromenade	ʃ t ʁ a n t p ʁ ɔ m ɛ n aː d ə
straße	ʃ t ʁ aː s ə
straßen	ʃ t ʁ aː s n̩
sprängen	ʃ p ʁ ɛ ŋ n̩
sprühten	ʃ p ʁ yː tʰ n̩
spuke	ʃ p uː kʰ ə
straßenecke	ʃ t ʁ aː s n ɛ kʰ ə
straßenecke	ʃ t ʁ aː s n̩ ɛ kʰ ə
straßenecke	ʃ t ʁ aː s ə n ɛ kʰ ə
spukhafte	ʃ p uː k h a f tʰ ə
straßenhundes	ʃ t ʁ aː s n̩ h ʊ n d ə s
streben	ʃ t ʁ eː b n̩
strebte	ʃ t ʁ eː b ə
strebte	ʃ t ʁ eː p tʰ ə
spukhaftes	ʃ p uː k h a f tʰ ə s
späherisches	ʃ p eː ə ʁ ɪ ʃ ə s
späherisches	ʃ p eː ʁ ɪ ʃ ə s
spüren	ʃ p yː ʁ n̩
strebtet	ʃ t ʁ eː b ə t
sollst	z ɔ l s t
streckte	ʃ t ʁ ɛ k tʰ ə
streckten	ʃ t ʁ ɛ k tʰ n̩
streichelte	ʃ t ʁ aj ç ə l tʰ ə
spürte	ʃ p yː ɐ tʰ ə
staat	ʃ t aː t
staates	ʃ t aː tʰ ə s
streichen	ʃ t ʁ aj ç n̩
streichholzflämmchen	ʃ t ʁ aj ç h ɔ l ts f l ɛ m ç n̩
streichholzflämmchen	ʃ t ʁ aj ç h ɔ l ts f l ɛ ɛ m ç n̩
streit	ʃ t ʁ aj t
streitenden	ʃ t ʁ aj tʰ ə n d n̩
staats	ʃ t aː t s
staats	ʃ t aː ts
strengte	ʃ t ʁ ɛ ŋ tʰ ə
staatseinrichtungen	ʃ t aː ts aj n ʁ ɪ ç tʰ ʊ ŋ n̩
solotänzer	z oː l ɔ tʰ ɛ n ts ɐ
strich	ʃ t ʁ ɪ ç
staatsrat	ʃ t aː ts ʁ aː t
sommergelben	z ɔ m ɐ ɟ ɛ l b n̩
strichen	ʃ t ʁ ɪ ç n̩
stacheliger	ʃ t a x ə l ɪ ɡ ɐ
sommerliches	z ɔ m ɐ l ɪ ç ə s
stricken	ʃ t ʁ ɪ kʰ n̩
sommers	z ɔ m ɐ s
strohhalms	ʃ t ʁ oː h a l m s
strohmatten	ʃ t ʁ oː m a tʰ n̩
sommerstille	z ɔ m ɐ ʃ t ɪ l ə
somnambul	z ɔ m n a m b ʊ l
sonderbar	z ɔ n d ɐ b aː ɐ
sonderbar	z ɔ n d ə ʁ b aː ʁ
strotzen	ʃ t ʁ ɔ ts n̩
sonderbarer	z ɔ n d ɐ b aː ʁ ɐ
sonderbarer	z ɔ n d ə ʁ b aː ʁ ɐ
strudel	ʃ t ʁ uː d l̩
stadtgouverneur	ʃ t a t ɡ ʊ v ɛ ʁ n øː ʁ
sonderlichen	z ɔ n d ɐ l ɪ ç n̩
struppigen	ʃ t ʁ ʊ pʰ ɪ ɡ n̩
stahl	ʃ t aː l
sträubten	ʃ t ʁ ɔʏ p tʰ n̩
stahlgranaten	ʃ t aː l ɡ ʁ a n aː tʰ n̩
strömten	ʃ t ʁ øː m tʰ n̩
strümpfen	ʃ t ʁ ʏ m pf n̩
stubentür	ʃ t uː b n̩ tʰ yː ɐ
sonnengewärmten	z ɔ n ə n ɡ ə v ɛ ʁ m tʰ n̩
stammschloß	ʃ t a m ʃ l oː s
stammschloß	ʃ t a m ʃ l ɔ s
stammschloß	ʃ t a m ʃ l ɔ s t s ɛ t
stammschloß	ʃ t a m ʃ l ɔ s ɛ s
studien	ʃ t ʊ d iː n
sonnenhellen	z ɔ n ə n h ɛ l n̩
standhaft	ʃ t a n t h a f t
studierte	ʃ t ʊ d iː ɐ tʰ ə
studierte	ʃ t ʊ d iː ʁ tʰ ə
stufe	ʃ t uː f ə
stuhl	ʃ t uː l
stuhle	ʃ t uː l ə
stumm	ʃ t ʊ m
stumpf	ʃ t ʊ m pf
stunde	ʃ t ʊ n d ə
stunden	ʃ t ʊ n d n̩
sturm	ʃ t ʊ ʁ m
sturme	ʃ t ʊ ʁ m ə
sturz	ʃ t ʊ ʁ ts
stutzte	ʃ t ʊ ts t ə
städtchen	ʃ t ɛ t ç n̩
sonnenlicht	z ɔ n ə n l ɪ ç t
sonnenprisma	z ɔ n ə n p ʁ ɪ s m a
stäke	ʃ t eː kʰ ə
stange	ʃ t a ŋ ə
stärke	ʃ t ɛ ʁ kʰ ə
stangen	ʃ t a ŋ n̩
sonnenseite	z ɔ n ə n z aj tʰ ə
stank	ʃ t a ŋ k
stapel	ʃ t aː pʰ l̩
stärker	ʃ t ɛ ʁ kʰ ɐ
stärksten	ʃ t ɛ ʁ k s t n̩
stöhnen	ʃ t øː n n̩
stöhnte	ʃ t øː n tʰ ə
sonnigen	z ɔ n ɪ ɡ n̩
stören	ʃ t øː ʁ n̩
stark	ʃ t a ʁ k
sonntage	z ɔ n tʰ aː ɡ ə
starker	ʃ t a ʁ kʰ ɐ
störrigste	ʃ t œ ʁ ɪ ç s t ə
störte	ʃ t øː ɐ tʰ ə
stößest	ʃ t øː s ə s t
starres	ʃ t a ʁ ə s
stückchen	ʃ t ʏ k ç n̩
starrt	ʃ t a ʁ t
stünde	ʃ t ʏ n d ə
starrte	ʃ t a ʁ tʰ ə
stündlich	ʃ t ʏ n t l ɪ ç
stürmischer	ʃ t ʏ ʁ m ɪ ʃ ɐ
stattfinden	ʃ t a t f ɪ n d n̩
stürzen	ʃ t ʏ ʁ ts n̩
stattlichen	ʃ t a t l ɪ ç n̩
stürzte	ʃ t ʏ ʁ ts t ə
statuiertest	ʃ t aː tʰ ʊ iː ɐ tʰ ə s t
statuiertest	ʃ t aː tʰ ʊ iː ʁ tʰ ə s t
staubweiße	ʃ t aw p v aj s ə
stützend	ʃ t ʏ ts n̩ t
stützend	ʃ t ʏ ts ə n t
sonntagsweste	z ɔ n tʰ a k s v ɛ s t ə
staunend	ʃ t aw n ə n t
subjekt	z ʊ p j ɛ k t
sorgfältigerem	z ɔ ʁ k f ɛ l tʰ ɪ ɟ eː ʁ m̩
sorgsam	z ɔ ʁ k z aː m
sorte	z ɔ ʁ tʰ ə
soviel	s ɔ v iː l
soviel	z oː f iː l
sowohl	z oː v oː l
sublimerer	z ʊ p l iː m ə ʁ ɐ
soziales	z ɔ ts j aː l ə s
suche	z uː x ə
staunte	ʃ t aw n tʰ ə
steche	ʃ t ɛ ç ə
stechen	ʃ t ɛ ç n̩
steckenpferd	ʃ t ɛ kʰ n̩ pf eː ɐ t
suchen	z uː x n̩
steh	ʃ t eː
spangen	ʃ p a ŋ n̩
suchst	z uː x s t
suchte	z uː x tʰ ə
suchte	z ʊ x tʰ ə
suchten	z uː x tʰ n̩
suchten	z ʊ x tʰ n̩
spannen	ʃ p a n n̩
summe	z ʊ m ə
spannten	ʃ p a n tʰ n̩
stehend	ʃ t eː ə n t
sumsen	z ʊ m z n̩
stehest	ʃ t eː ə s t
surrende	z ʊ ʁ ə n d ə
surrendes	z ʊ ʁ ə n d ə s
swammer	s v a m ɐ
steig	ʃ t aj k
swammerdamm	s v a m ɐ d a m
spatzen	ʃ p a ts n̩
swammerdämmchen	s v a m ɐ d ɛ m ç n̩
steigend	ʃ t aj ɡ n̩ t
spaziergange	ʃ p a ts iː ɐ ɡ a ŋ ə
sykomorenbäumen	z ʏ kʰ ɔ m oː ʁ ə n b ɔʏ m n̩
spazierritt	ʃ p a ts iː ɐ ʁ ɪ t
systeme	z ʏ s t eː m ə
steigt	ʃ t aj k t
steigt	ʃ t aj ç t
stein	ʃ t aj n
szene	s ts eː n ə
speisenden	ʃ p aj z ə n d n̩
speiste	ʃ p aj s t ə
spekulierte	ʃ p ɛ kʰ ʊ l iː ɐ tʰ ə
sperlingschar	ʃ p ɛ ʁ l ɪ ŋ ʃ kʰ a ʁ
szenen	s ts ɛ n n̩
säbeln	z eː b l̩ n
sähe	z eː ə
sämtliche	z eː m t l ɪ ç ə
sperrte	ʃ p ɛ ʁ tʰ ə
sänfte	z ɛ n f tʰ ə
steinerne	ʃ t aj n ɐ n ə
sänge	z ɛ ŋ ə
spiegelblanken	ʃ p iː ɡ l̩ b l a ŋ kʰ n̩
spiegelblanken	ʃ p iː ɡ ə l b l a ŋ kʰ n̩
spiegellinie	ʃ p iː ɡ ə l iː n j ə
spiegellinie	ʃ p ɪ ɡ ə l iː n j ə
spiegelten	ʃ p iː ɡ ə l tʰ n̩
steingeklüft	ʃ t aj n ɡ ə k l ʏ f t
sänger	z ɛ ŋ ɐ
steinlaterne	ʃ t aj n l a tʰ ɛ ʁ n ə
säulen	z ɔʏ l n̩
steinreich	ʃ t aj n ʁ aj ç
spielenden	ʃ p iː l ɛ n d n̩
säße	z eː s ə
säße	z s ə
säße	z ɛ s ə
stelle	ʃ t ɛ l ə
söhne	z øː n ə
spielsächelchen	ʃ p iː l z ɛ ç l̩ ç n̩
söhnen	z øː n n̩
stellst	s t ɛ l s t
stellst	ʃ t ɛ l s t
süden	z yː d n̩
stellten	ʃ t ɛ l tʰ n̩
südostwind	z yː tʰ ɔ s t v ɪ n t
sünde	z ʏ n d ə
sünder	z ʏ n d ɐ
spinngewebes	ʃ p ɪ n ɡ ə v eː b ə s
stemmend	ʃ t ɛ m ə n t
sündflut	z ʏ n t f l uː t
sündiger	z ʏ n d ɪ ɡ ɐ
stenographischen	ʃ t ɛ n ɔ ɡ ʁ aː f ɪ ʃ n̩
stern	ʃ t ɛ ʁ n
süßen	z yː s n̩
süßen	z ʏ s n̩
süßer	z yː s ɐ
süßer	z ʏ s ɐ
sternbildern	ʃ t ɛ ʁ n b ɪ l d ɐ n
stete	ʃ t eː tʰ ə
süßesten	z yː s ə s t n̩
süßesten	z ʏ s ə s t n̩
steter	ʃ t eː tʰ ɐ
stetes	ʃ t eː tʰ ə s
stets	ʃ t eː t s
spitz	ʃ p ɪ ts
steuerlos	ʃ t ɔʏ ɐ l oː s
spitze	ʃ p ɪ ts ə
spitzenärmel	ʃ p ɪ ts n̩ ɛ ʁ m l̩
spitzenärmel	ʃ p ɪ ts ə n ɛ ʁ m l̩
tabakkugel	tʰ aː b a kʰ uː ɡ l̩
stich	ʃ t ɪ ç
tabaksdampf	tʰ aː b a k s d a m pf
tadeln	tʰ aː d l̩ n
tadelsfreier	tʰ aː d l̩ s f ʁ aj ɐ
tadelsfreier	tʰ aː d ə l s f ʁ aj ɐ
sticht	ʃ t ɪ ç t
stiefel	ʃ t iː f l̩
tagebuch	tʰ aː ɡ ə b uː x
stiefelputzen	ʃ t iː f l̩ pʰ ʊ ts n̩
spleenisch	ʃ p l iː n ɪ ʃ
stil	ʃ t iː l
tages	tʰ aː ɡ ə s
tagesherz	tʰ aː ɡ ə s h ɛ ʁ ts
tageslicht	tʰ aː ɡ ə s l ɪ ç t
tagheller	tʰ aː k h ɛ l ɐ
taille	tʰ a l j ə
stilles	ʃ t ɪ l ə s
stillstand	ʃ t ɪ l ʃ t a n t
spleens	ʃ p l iː n s
spotten	ʃ p ɔ tʰ n̩
stillstehende	ʃ t ɪ l ʃ t eː ə n d ə
tale	tʰ a l ə
tale	tʰ aː l ə
talisman	tʰ aː l ɪ s m a n
stimmensammlung	ʃ t ɪ m ə n z a m l ʊ ŋ
talismans	tʰ aː l ɪ s m a n s
tanzenden	tʰ a n ts ə n d n̩
tapfer	tʰ a pf ɐ
tapfer	tʰ a pf ə ʁ
sprachlos	ʃ p ʁ aː x l oː s
stock	ʃ t ɔ k
tarantelstich	tʰ a ʁ a n tʰ l̩ ʃ t ɪ ç
tarantelstich	tʰ a ʁ a n tʰ ə l ʃ t ɪ ç
sprachzüge	ʃ p ʁ aː x ts yː ɡ ə
taschenspielerkünste	tʰ a ʃ n̩ ʃ p iː l ɐ cʰ ʏ n s t ə
taschenspielerkünste	tʰ a ʃ n̩ ʃ p iː l ə ʁ cʰ ʏ n s t ə
spreche	ʃ p ʁ ɛ ç ə
tauchen	tʰ aw x n̩
tauchte	tʰ aw x tʰ ə
stockte	ʃ t ɔ k tʰ ə
tauchten	tʰ aw x tʰ n̩
sprichst	ʃ p ʁ ɪ ç s t
tauffeste	tʰ aw f ɛ s t ə
taumeln	tʰ aw m ə l n
sprichwörtlich	ʃ p ʁ ɪ ç v œ ʁ t l ɪ ç
taumelnden	tʰ aw m l̩ n d n̩
stolpern	ʃ t ɔ l pʰ ɐ n
stolzer	ʃ t ɔ l ts ɐ
stolzer	ʃ t ɔ l ts ə ʁ
storakopparberg	ʃ t ɔ ʁ a kʰ ɔ pʰ a ʁ b ɛ ʁ k
spruch	ʃ p ʁ ʊ x
strafte	ʃ t ʁ aː f tʰ ə
sprühenden	ʃ p ʁ yː ə n d n̩
strahl	ʃ t ʁ aː l
sprünge	ʃ p ʁ ʏ ŋ ə
strahlenden	ʃ t ʁ aː l ə n d n̩
spukgeister	ʃ p uː k ɡ aj s t ɐ
strahlendes	ʃ t ʁ aː l ə n d ə s
spur	ʃ p uː ɐ
strande	ʃ t ʁ a n d ə
spurlos	ʃ p uː ɐ l oː s
strandwellen	ʃ t ʁ a n t v ɛ l n̩
straßab	ʃ t ʁ aː s a p
straßab	ʃ t ʁ aː s aː p
spätnachmittag	ʃ p eː t n a x m ɪ tʰ a x
tausend	tʰ aw z n̩ t
tausendfach	tʰ aw z n̩ t f a x
straßenecken	ʃ t ʁ aː s n ɛ kʰ n̩
straßenecken	ʃ t ʁ aː s n̩ ɛ kʰ n̩
straßenecken	ʃ t ʁ aː s ə n ɛ kʰ n̩
staatsinquisition	ʃ t aː ts ɪ n k v ɪ z iː t s j oː n
tausendmal	tʰ aw z n̩ t m aː l
straßenlinie	ʃ t ʁ aː s n̩ l iː n j ə
staatsmännern	ʃ t aː ts m ɛ n ɐ n
tausendsten	tʰ aw z n̩ ts t n̩
strebe	ʃ t ʁ eː b ə
stacheln	ʃ t a x l̩ n
tauwerk	tʰ aw v ɛ ʁ k
stachlichte	ʃ t a x l ɪ ç tʰ ə
tee	tʰ eː
strebten	ʃ t ʁ eː b n̩
stadtgespräch	ʃ t a t ɡ ə ʃ p ʁ eː ç
streckt	ʃ t ʁ ɛ k t
stadttores	ʃ t a tʰ oː ʁ ə s
teehaus	tʰ eː h aw s
stahls	ʃ t aː l s
teehauses	tʰ eː h aw z ə s
streiche	ʃ t ʁ aj ç ə
stall	ʃ t a l
teehaustänzerin	tʰ eː h aw s t ɛ n ts ə ʁ ɪ n
streicheln	ʃ t ʁ aj ç l̩ n
streicheln	ʃ t ʁ aj ç ə l n
teestunde	tʰ eː ʃ t ʊ n d ə
stammeln	ʃ t a m l̩ n
teil	tʰ aj l
stampfenden	ʃ t a m pf ə n d n̩
teile	tʰ aj l ə
streichholzschachtel	ʃ t ʁ aj ç h ɔ l ts ʃ a x tʰ l̩
streitet	ʃ t ʁ aj tʰ ə t
teilen	tʰ aj l n̩
strengsten	ʃ t ʁ ɛ ŋ s t n̩
teilnahmlos	tʰ aj l n aː m l oː s
strick	ʃ t ʁ ɪ k
stricke	ʃ t ʁ ɪ kʰ ə
teilst	tʰ aj l s t
stroh	ʃ t ʁ oː
teilte	tʰ aj l tʰ ə
strohhut	ʃ t ʁ oː h uː t
standhaftigkeit	ʃ t a n t h a f tʰ ɪ ç kʰ aj t
teilung	tʰ aj l ʊ ŋ
telegramme	tʰ ɛ l ɛ ɡ ʁ a m ə
strohhüten	ʃ t ʁ oː h yː tʰ n̩
starb	ʃ t a ʁ p
starb	ʃ t aː p
tempel	tʰ ɛ m pʰ l̩
strohmattenboden	ʃ t ʁ oː m a tʰ n̩ b oː d n̩
tempelaltane	tʰ ɛ m pʰ l̩ a l tʰ aː n ə
tempeldiele	tʰ ɛ m pʰ l̩ d iː l ə
tempeldächer	tʰ ɛ m pʰ l̩ d ɛ ç ɐ
tempelgongs	tʰ ɛ m pʰ l̩ ɡ ɔ ŋ s
sträuben	ʃ t ʁ ɔʏ b n̩
tempelhof	tʰ ɛ m pʰ l̩ h oː f
strömen	ʃ t ʁ øː m n̩
starke	ʃ t a ʁ kʰ ə
strömte	ʃ t ʁ øː m tʰ ə
tempelholzhalle	tʰ ɛ m pʰ l̩ h ɔ l ts h a l ə
tempeln	tʰ ɛ m pʰ l̩ n
stube	ʃ t uː b ə
stubenschlüssel	ʃ t uː b n̩ ʃ l ʏ s l̩
studieren	ʃ t ʊ d iː ʁ n̩
tempelopfer	tʰ ɛ m pʰ l̩ ɔ pf ɐ
studierten	ʃ t ʊ d iː ʁ tʰ n̩
starre	ʃ t a ʁ ə
tempeltor	tʰ ɛ m pʰ ə l tʰ oː ɐ
starren	ʃ t a ʁ n̩
tempeltore	tʰ ɛ m pʰ l̩ tʰ oː ʁ ə
tempeltore	tʰ ɛ m pʰ ə l tʰ oː ʁ ə
tempelwände	tʰ ɛ m pʰ l̩ v ɛ n d ə
tempelwände	tʰ ɛ m pʰ ə l v ɛ n d ə
stattgefunden	ʃ t a t ɡ ə f ʊ n d n̩
tendenz	tʰ ɛ n d ɛ n ts
stummel	ʃ t ʊ m l̩
stumpft	ʃ t ʊ m pf t
teppich	tʰ ɛ pʰ ɪ ç
stattlicher	ʃ t a t l ɪ ç ɐ
teppichs	tʰ ɛ pʰ ɪ ç s
staubgeruch	ʃ t aw p ɡ ə ʁ ʊ x
